scenario,severity,severity_rank,seed,method,method_label,allocate_rate,defer_rate,reject_rate,allocate_count,defer_count,reject_count,total_actions
duration_misreport,medium,2,8,heuristic_sjf_bestfit,SJF best-fit heuristic,0.9166666666666666,0.08333333333333333,0.0,704.0,64.0,0.0,768.0
duration_misreport,medium,2,8,psaim_lite,Simplified PSAIM,0.8033854166666666,0.0,0.19661458333333334,617.0,0.0,151.0,768.0
duration_misreport,high,3,8,heuristic_sjf_bestfit,SJF best-fit heuristic,0.9166666666666666,0.08333333333333333,0.0,704.0,64.0,0.0,768.0
duration_misreport,high,3,8,psaim_lite,Simplified PSAIM,0.8385416666666666,0.005208333333333333,0.15625,644.0,4.0,120.0,768.0
clean,clean,0,9,heuristic_sjf_bestfit,SJF best-fit heuristic,0.9166666666666666,0.08333333333333333,0.0,704.0,64.0,0.0,768.0
clean,clean,0,9,psaim_lite,Simplified PSAIM,0.8424479166666666,0.0026041666666666665,0.15494791666666666,647.0,2.0,119.0,768.0
duration_misreport,low,1,9,heuristic_sjf_bestfit,SJF best-fit heuristic,0.9270833333333334,0.07291666666666667,0.0,712.0,56.0,0.0,768.0
duration_misreport,low,1,9,psaim_lite,Simplified PSAIM,0.8411458333333334,0.0026041666666666665,0.15625,646.0,2.0,120.0,768.0
duration_misreport,medium,2,9,heuristic_sjf_bestfit,SJF best-fit heuristic,0.9166666666666666,0.08333333333333333,0.0,704.0,64.0,0.0,768.0
duration_misreport,medium,2,9,psaim_lite,Simplified PSAIM,0.8411458333333334,0.0026041666666666665,0.15625,646.0,2.0,120.0,768.0
duration_misreport,high,3,9,heuristic_sjf_bestfit,SJF best-fit heuristic,0.9166666666666666,0.08333333333333333,0.0,704.0,64.0,0.0,768.0
duration_misreport,high,3,9,psaim_lite,Simplified PSAIM,0.7942708333333334,0.0013020833333333333,0.20442708333333334,610.0,1.0,157.0,768.0
