average_slowdown,mean_completion_time,p95_completion_time,utilization,task_failure_rate,tasks_arrived,tasks_failed,scenario,severity,severity_rank,method,seed,degradation_pct
4.1125,15.052083333333334,73.5,0.498046875,0.2708333333333333,96.0,26.0,reward_corruption,low,1,deeprm_inspired_pg,0,13.069212410501178
5.085416666666666,19.677083333333332,85.0,0.40625,0.34375,96.0,33.0,reward_corruption,medium,2,deeprm_inspired_pg,0,39.81861575178995
17.66111111111111,52.5,94.5,0.0,1.0,96.0,96.0,reward_corruption,high,3,deeprm_inspired_pg,0,385.5751789976133
3.9701195143192294,10.639854599518834,43.637499999999974,0.3873697916666667,0.16257802370808552,89.25,14.625,distribution_shift,low,1,deeprm_inspired_pg,0,9.154598579850878
6.683931875233549,18.454509549417562,68.85624999999999,0.45182291666666663,0.3245990323698563,115.375,38.875,distribution_shift,medium,2,deeprm_inspired_pg,0,83.76824630713718
8.874010518623916,25.656387494833858,76.01249999999999,0.5127766927083333,0.5069791048736495,146.75,75.5,distribution_shift,high,3,deeprm_inspired_pg,0,143.98234170536395
4.974240451388889,19.217447916666664,84.5,0.41552734375,0.3359375,96.0,32.25,co_tenant_interference,low,1,deeprm_inspired_pg,0,36.76193317422433
5.321701388888889,20.044270833333332,85.25,0.40950520833333337,0.35286458333333337,96.0,33.875,co_tenant_interference,medium,2,deeprm_inspired_pg,0,46.31503579952266
6.414192708333333,22.524739583333336,86.6875,0.3756510416666667,0.40625,96.0,39.0,co_tenant_interference,high,3,deeprm_inspired_pg,0,76.35202863961811
5.085416666666666,19.677083333333332,85.0,0.40625,0.34375,96.0,33.0,co_tenant_matched_load_control,low,1,deeprm_inspired_pg,0,39.81861575178995
5.085416666666666,19.677083333333332,85.0,0.40625,0.34375,96.0,33.0,co_tenant_matched_load_control,medium,2,deeprm_inspired_pg,0,39.81861575178995
5.085416666666666,19.677083333333332,85.0,0.40625,0.34375,96.0,33.0,co_tenant_matched_load_control,high,3,deeprm_inspired_pg,0,39.81861575178995
3.3252387152777776,12.3125,71.3125,0.5836588541666666,0.18880208333333331,96.0,18.125,clean,clean,0,plain_dqn,0,0.0
5.750737847222222,17.977864583333332,81.3125,0.51611328125,0.30338541666666663,96.0,29.125,observation_noise,low,1,plain_dqn,0,72.94210550359924
5.163454861111111,17.234375,78.15625,0.4983723958333333,0.29557291666666663,96.0,28.375,observation_noise,medium,2,plain_dqn,0,55.2807272869664
6.035221354166667,20.240885416666668,84.40625,0.4424641927083333,0.35286458333333337,96.0,33.875,observation_noise,high,3,plain_dqn,0,81.4973862308862
3.5665798611111117,12.51171875,72.25,0.589599609375,0.19010416666666666,96.0,18.25,reward_corruption,low,1,plain_dqn,0,7.25785925457004
10.982812500000001,34.33203125,86.9375,0.20320638020833334,0.6861979166666667,96.0,65.875,reward_corruption,medium,2,plain_dqn,0,230.2864377688006
13.56501736111111,39.4140625,79.65625,0.2774251302083333,0.7317708333333334,96.0,70.25,reward_corruption,high,3,plain_dqn,0,307.941159195181
4.11866079471733,10.968592104730178,41.406249999999986,0.38525390625,0.17231193906256914,89.25,15.5,distribution_shift,low,1,plain_dqn,0,23.860605128713996
