average_slowdown,mean_completion_time,p95_completion_time,utilization,task_failure_rate,tasks_arrived,tasks_failed,experiment,scenario,severity,method,method_label,seed,degradation_pct,agent_r_int,agent_V_epi,agent_V_ale,agent_V_ale_excess,agent_gate_h3,agent_pg_loss
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.23958333333333334,96.0,23.0,reward_corruption_training_sweep,reward_corruption_training,high,heuristic_sjf_bestfit,SJF best-fit heuristic,1,0.0,,,,,,
4.291493055555556,15.166666666666666,85.5,0.5579427083333334,0.21875,96.0,21.0,reward_corruption_training_sweep,reward_corruption_training,high,deeprm_inspired_pg,PG proxy,1,42.53834621150965,,,,,,
16.92515190972222,50.06380208333333,91.5625,0.03662109375,0.9609375,96.0,92.25,reward_corruption_training_sweep,reward_corruption_training,high,plain_dqn,DQN,1,458.02394052789367,,,,,,
7.730577256944445,23.102864583333336,57.90625,0.426513671875,0.484375,96.0,46.5,reward_corruption_training_sweep,reward_corruption_training,high,dqn_rnd,DQN+RND,1,148.9830295235965,0.0,,,,,
17.531336805555554,52.13541666666667,94.15625,0.003824869791666667,0.9934895833333334,96.0,95.375,reward_corruption_training_sweep,reward_corruption_training,high,psaim_lite,Simplified PSAIM,1,463.35792688879894,0.005970275017208029,0.006246017839672185,0.08740141987800598,0.0,0.9558530203495821,
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.23958333333333334,96.0,23.0,reward_corruption_training_sweep,clean,clean,heuristic_sjf_bestfit,SJF best-fit heuristic,2,0.0,,,,,,
4.928819444444444,15.21875,67.0,0.576171875,0.25,96.0,24.0,reward_corruption_training_sweep,clean,clean,deeprm_inspired_pg,PG proxy,2,0.0,,,,,,
3.3113498263888888,12.321614583333334,71.28125,0.5833333333333333,0.18489583333333331,96.0,17.75,reward_corruption_training_sweep,clean,clean,plain_dqn,DQN,2,0.0,,,,,,
3.5841796874999994,13.553385416666666,73.5,0.5546875,0.2109375,96.0,20.25,reward_corruption_training_sweep,clean,clean,dqn_rnd,DQN+RND,2,0.0,0.0,,,,,
3.379036458333333,12.341145833333334,69.8125,0.5843098958333334,0.1953125,96.0,18.75,reward_corruption_training_sweep,clean,clean,psaim_lite,Simplified PSAIM,2,0.0,0.012933610179321499,0.020915472894146768,0.048399477265775204,0.0,0.6143211981252985,
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.23958333333333334,96.0,23.0,reward_corruption_training_sweep,reward_corruption_training,low,heuristic_sjf_bestfit,SJF best-fit heuristic,2,0.0,,,,,,
4.341840277777778,14.427083333333334,61.5,0.572265625,0.22916666666666666,96.0,22.0,reward_corruption_training_sweep,reward_corruption_training,low,deeprm_inspired_pg,PG proxy,2,-11.909122930609351,,,,,,
3.691167534722222,13.84375,73.5,0.5459798177083334,0.22265625,96.0,21.375,reward_corruption_training_sweep,reward_corruption_training,low,plain_dqn,DQN,2,11.470177669133022,,,,,,
3.1056423611111112,11.541666666666668,65.96875,0.588134765625,0.18489583333333334,96.0,17.75,reward_corruption_training_sweep,reward_corruption_training,low,dqn_rnd,DQN+RND,2,-13.351376552292015,0.0,,,,,
