method,seed,switch_index,adaptation_lag_steps
psaim_lite,6,1,15.0
psaim_lite,6,2,21.0
psaim_lite,6,3,18.0
psaim_lite,6,4,16.5
psaim_lite,6,5,19.0
psaim_lite,6,6,11.0
psaim_lite,6,7,11.0
psaim_lite,6,8,21.0
psaim_no_aleatoric,6,1,12.5
psaim_no_aleatoric,6,2,20.0
psaim_no_aleatoric,6,3,17.0
psaim_no_aleatoric,6,4,7.0
psaim_no_aleatoric,6,5,17.5
psaim_no_aleatoric,6,6,8.0
psaim_no_aleatoric,6,7,7.0
psaim_no_aleatoric,6,8,16.0
psaim_no_gate,6,1,12.5
psaim_no_gate,6,2,20.0
psaim_no_gate,6,3,17.0
psaim_no_gate,6,4,7.0
psaim_no_gate,6,5,17.5
psaim_no_gate,6,6,8.0
psaim_no_gate,6,7,9.5
psaim_no_gate,6,8,15.0
psaim_no_freezing,6,1,16.0
psaim_no_freezing,6,2,21.0
psaim_no_freezing,6,3,17.0
psaim_no_freezing,6,4,13.666666666666666
psaim_no_freezing,6,5,19.0
psaim_no_freezing,6,6,8.0
psaim_no_freezing,6,7,8.0
psaim_no_freezing,6,8,19.0
heuristic_sjf_bestfit,7,1,1.0
heuristic_sjf_bestfit,7,2,20.5
heuristic_sjf_bestfit,7,3,12.0
heuristic_sjf_bestfit,7,4,21.0
heuristic_sjf_bestfit,7,5,16.666666666666668
heuristic_sjf_bestfit,7,6,12.0
heuristic_sjf_bestfit,7,7,18.0
heuristic_sjf_bestfit,7,8,18.666666666666668
deeprm_inspired_pg,7,1,4.5
deeprm_inspired_pg,7,2,17.5
deeprm_inspired_pg,7,3,9.5
deeprm_inspired_pg,7,4,21.0
deeprm_inspired_pg,7,5,6.0
deeprm_inspired_pg,7,6,15.5
deeprm_inspired_pg,7,7,17.0
deeprm_inspired_pg,7,8,19.0
plain_dqn,7,1,2.0
plain_dqn,7,2,20.5
plain_dqn,7,3,10.5
plain_dqn,7,4,18.0
plain_dqn,7,5,11.5
plain_dqn,7,6,12.5
plain_dqn,7,7,18.0
plain_dqn,7,8,20.333333333333332
dqn_rnd,7,1,10.5
dqn_rnd,7,2,20.0
dqn_rnd,7,3,11.0
dqn_rnd,7,5,9.5
dqn_rnd,7,6,9.333333333333334
dqn_rnd,7,7,10.5
dqn_rnd,7,8,18.0
psaim_lite,7,1,1.5
psaim_lite,7,2,20.0
psaim_lite,7,3,10.0
psaim_lite,7,4,11.5
psaim_lite,7,5,9.5
psaim_lite,7,6,8.666666666666666
psaim_lite,7,7,14.0
psaim_lite,7,8,16.333333333333332
psaim_no_aleatoric,7,1,2.5
psaim_no_aleatoric,7,2,17.0
psaim_no_aleatoric,7,3,10.0
psaim_no_aleatoric,7,4,21.0
psaim_no_aleatoric,7,5,10.0
psaim_no_aleatoric,7,6,11.0
psaim_no_aleatoric,7,7,15.0
psaim_no_aleatoric,7,8,18.5
psaim_no_gate,7,1,2.5
psaim_no_gate,7,2,17.0
psaim_no_gate,7,3,10.666666666666666
psaim_no_gate,7,4,21.0
psaim_no_gate,7,5,6.0
psaim_no_gate,7,6,10.5
psaim_no_gate,7,7,15.0
psaim_no_gate,7,8,18.0
psaim_no_freezing,7,1,1.5
psaim_no_freezing,7,2,19.0
psaim_no_freezing,7,3,10.0
psaim_no_freezing,7,5,12.0
psaim_no_freezing,7,6,7.666666666666667
psaim_no_freezing,7,7,18.5
psaim_no_freezing,7,8,14.0
heuristic_sjf_bestfit,8,1,12.0
heuristic_sjf_bestfit,8,2,17.0
heuristic_sjf_bestfit,8,3,13.666666666666666
heuristic_sjf_bestfit,8,4,20.0
heuristic_sjf_bestfit,8,5,5.0
heuristic_sjf_bestfit,8,6,15.0
heuristic_sjf_bestfit,8,7,17.0
heuristic_sjf_bestfit,8,8,18.666666666666668
deeprm_inspired_pg,8,1,10.0
deeprm_inspired_pg,8,2,18.333333333333332
deeprm_inspired_pg,8,3,14.0
deeprm_inspired_pg,8,4,21.0
deeprm_inspired_pg,8,5,4.0
deeprm_inspired_pg,8,6,10.0
deeprm_inspired_pg,8,7,10.0
deeprm_inspired_pg,8,8,13.0
plain_dqn,8,1,20.0
plain_dqn,8,2,19.5
plain_dqn,8,3,11.666666666666666
plain_dqn,8,4,15.0
plain_dqn,8,5,6.0
plain_dqn,8,6,15.0
plain_dqn,8,7,9.5
plain_dqn,8,8,10.0
dqn_rnd,8,1,7.5
dqn_rnd,8,2,18.666666666666668
dqn_rnd,8,3,14.5
dqn_rnd,8,5,6.0
dqn_rnd,8,6,18.5
dqn_rnd,8,7,10.5
dqn_rnd,8,8,11.5
psaim_lite,8,1,10.0
psaim_lite,8,2,16.0
psaim_lite,8,3,13.0
