average_slowdown,mean_completion_time,p95_completion_time,utilization,task_failure_rate,tasks_arrived,tasks_failed,method,seed,condition,adaptation_lag_steps,agent_r_int,agent_V_epi,agent_V_ale,agent_V_ale_excess,agent_gate_h3
1.1059027777777777,3.3177083333333335,3.0,0.24869791666666666,0.026041666666666664,48.0,1.25,psaim_no_gate,1,clean,,0.007592566023652964,0.007592566023652964,0.04732712730765343,0.0,1.0
2.9309634970506053,8.342645849215643,28.043749999999996,0.3557942708333333,0.16376889776305323,75.375,12.75,psaim_no_gate,1,stressed,11.875,-0.09154179417276902,0.16140275015186015,0.04086491838097572,0.005313970614224672,1.0
1.0477430555555556,3.143229166666667,3.08125,0.24934895833333331,0.0234375,48.0,1.125,psaim_no_freezing,1,clean,,0.0072896398472385195,0.007635808325041493,0.047063328325748444,0.0,0.9546651168982699
2.7806273855413455,8.132990248480935,25.674999999999994,0.35416666666666663,0.15817957034698957,75.375,12.375,psaim_no_freezing,1,stressed,14.8125,-0.1564263583710797,0.06565665387760963,0.08529303316026926,0.016044914722442627,0.7149348092633503
1.0,3.0,3.0,0.25,0.020833333333333332,48.0,1.0,heuristic_sjf_bestfit,2,clean,,,,,,
2.298241408410872,7.433447489440541,25.86874999999999,0.3970540364583333,0.14730008729361405,82.375,12.75,heuristic_sjf_bestfit,2,stressed,17.020833333333332,,,,,
1.0,3.0,3.0,0.25,0.020833333333333332,48.0,1.0,deeprm_inspired_pg,2,clean,,,,,,
3.6151171498744556,9.869313957652178,41.86874999999999,0.38834635416666663,0.21974385083003767,82.375,18.625,deeprm_inspired_pg,2,stressed,14.4375,,,,,
1.0017361111111112,3.0052083333333335,3.0,0.25,0.020833333333333332,48.0,1.0,plain_dqn,2,clean,,,,,,
3.5870558238793993,9.969037846464659,38.18124999999999,0.38321940104166663,0.21965559729047893,82.375,18.625,plain_dqn,2,stressed,14.458333333333332,,,,,
1.1553819444444442,3.4661458333333335,3.0,0.24674479166666666,0.033854166666666664,48.0,1.625,dqn_rnd,2,clean,,0.0,,,,
3.2908259824597703,9.391384366419375,41.756249999999895,0.3789876302083333,0.20306973574055057,82.375,17.375,dqn_rnd,2,stressed,15.666666666666668,0.0,,,,
1.1519097222222223,3.4557291666666665,3.0,0.248046875,0.02864583333333333,48.0,1.375,psaim_lite,2,clean,,0.007595621957330293,0.00795865739354044,0.04835253208875656,0.0,0.9543848392688945
3.4710092546523166,9.681242932301773,40.03124999999999,0.3776041666666667,0.2158374252599839,82.375,18.375,psaim_lite,2,stressed,13.729166666666666,-0.0016600334742185923,0.049820693177031306,0.08023427613079548,0.0068289535120129585,0.7766719720336684
1.1380208333333335,3.4140625,3.0,0.24869791666666669,0.026041666666666664,48.0,1.25,psaim_no_aleatoric,2,clean,,0.00769501580725709,0.0080635743577216,0.0,0.0,0.9542934021422421
2.8871508376250326,8.44533316929084,22.4125,0.3992513020833333,0.16742225665880814,82.375,14.5,psaim_no_aleatoric,2,stressed,15.395833333333334,0.04837211200038023,0.05947844452670268,0.0,0.0,0.8080533107983383
1.2482638888888888,3.744791666666667,3.0,0.24739583333333331,0.031249999999999997,48.0,1.5,psaim_no_gate,2,clean,,0.008027438479544529,0.008027438479544529,0.04796651378273964,0.0,1.0
3.2680394270082815,9.415568282324783,37.81249999999995,0.38240559895833337,0.2051683173895708,82.375,17.5,psaim_no_gate,2,stressed,14.875,-0.5720094476860808,0.06669725233520424,0.08613724820315838,0.012775094714015722,1.0
1.0199652777777777,3.0598958333333335,3.0,0.24934895833333331,0.0234375,48.0,1.125,psaim_no_freezing,2,clean,,0.007646821771296007,0.008012699563673526,0.04699569195508957,0.0,0.9543377622647594
3.375783366088524,9.595952983380984,43.13124999999992,0.3799641927083333,0.2046913081379896,82.375,17.5,psaim_no_freezing,2,stressed,15.3125,0.028167105457023094,0.10704621115891888,0.07429260015487671,0.010448014363646507,0.8582877226301531
1.0,3.0,3.0,0.25,0.020833333333333332,48.0,1.0,heuristic_sjf_bestfit,3,clean,,,,,,
2.483592931953865,7.661384795663548,22.818749999999994,0.37679036458333337,0.13559395302025018,80.625,11.875,heuristic_sjf_bestfit,3,stressed,13.145833333333332,,,,,
1.0,3.0,3.0,0.25,0.020833333333333332,48.0,1.0,deeprm_inspired_pg,3,clean,,,,,,
3.340979880578562,9.56703336722933,23.37499999999995,0.3611653645833333,0.18660099253779885,80.625,16.0,deeprm_inspired_pg,3,stressed,12.75,,,,,
1.0416666666666667,3.125,3.0,0.24869791666666666,0.026041666666666664,48.0,1.25,plain_dqn,3,clean,,,,,,
3.283025193280626,9.221400656779402,30.331249999999955,0.367919921875,0.18038128740247916,80.625,15.375,plain_dqn,3,stressed,11.0,,,,,
1.0303819444444444,3.0911458333333335,3.0,0.24934895833333331,0.0234375,48.0,1.125,dqn_rnd,3,clean,,0.0,,,,
3.371309523978919,9.439142522756562,29.46249999999998,0.3662923177083333,0.1876749067733044,80.625,16.0,dqn_rnd,3,stressed,12.270833333333334,0.0,,,,
1.0607638888888888,3.1822916666666665,3.0,0.24869791666666666,0.026041666666666664,48.0,1.25,psaim_lite,3,clean,,0.007391668633785089,0.007743438635333006,0.04845406860113144,0.0,0.9545718616606834
2.9208057947689237,8.287467435450232,19.549999999999997,0.382568359375,0.14728408580413296,80.625,12.875,psaim_lite,3,stressed,11.833333333333332,-0.2346932706088525,0.08408203366177129,0.08596930932253599,0.017810504883527756,0.6251713274947286
1.0034722222222223,3.010416666666667,3.0,0.24934895833333331,0.020833333333333332,48.0,1.0,psaim_no_aleatoric,3,clean,,0.007354233312400075,0.007703945430349208,0.0,0.0,0.9546061013657413
2.9902166251962807,8.63523317599899,20.306249999999995,0.373046875,0.16303057398576265,80.625,14.0,psaim_no_aleatoric,3,stressed,12.8125,0.09106235260429098,0.1052252063718667,0.0,0.0,0.8541405064839027
1.1345486111111112,3.403645833333333,3.0,0.248046875,0.028645833333333332,48.0,1.375,psaim_no_gate,3,clean,,0.007762459638285142,0.007762459638285142,0.047398947179317474,0.0,1.0
3.2850532896697624,9.34992306637822,26.412499999999987,0.3642578125,0.1810153496267883,80.625,15.5,psaim_no_gate,3,stressed,11.020833333333332,-0.6287936278508859,0.053086698100693,0.08331949450075626,0.01418889919295907,1.0
1.0086805555555556,3.026041666666667,3.0,0.24869791666666666,0.026041666666666664,48.0,1.25,psaim_no_freezing,3,clean,,0.007338363140189966,0.007687203768917074,0.047889430075883865,0.0,0.9546206085836266
3.5404345402302795,9.980270567043945,40.48124999999998,0.3645833333333333,0.1924833677121066,80.625,16.25,psaim_no_freezing,3,stressed,12.895833333333334,-0.049285625469098884,0.08407688356126364,0.07807910162955523,0.012208299711346626,0.8609765261778655
1.0,3.0,3.0,0.25,0.020833333333333332,48.0,1.0,heuristic_sjf_bestfit,4,clean,,,,,,
2.209024063326287,7.019734449075959,21.537499999999994,0.372802734375,0.1358995875204831,76.75,10.625,heuristic_sjf_bestfit,4,stressed,13.166666666666668,,,,,
1.0,3.0,3.0,0.25,0.020833333333333332,48.0,1.0,deeprm_inspired_pg,4,clean,,,,,,
2.6345297156286396,7.668556024178111,19.081249999999997,0.3714192708333333,0.16043084439875133,76.75,12.5,deeprm_inspired_pg,4,stressed,13.395833333333334,,,,,
1.1588541666666667,3.4765625,3.0,0.24869791666666669,0.026041666666666664,48.0,1.25,plain_dqn,4,clean,,,,,,
3.30192854151871,9.206128709215552,33.874999999999964,0.3550618489583333,0.20325986348076108,76.75,15.75,plain_dqn,4,stressed,11.333333333333334,,,,,
1.1180555555555556,3.354166666666667,3.0,0.24869791666666666,0.026041666666666664,48.0,1.25,dqn_rnd,4,clean,,0.0,,,,
2.849112674441128,8.17444180255984,23.656249999999996,0.3656412760416667,0.18134989417603267,76.75,14.125,dqn_rnd,4,stressed,13.354166666666666,0.0,,,,
1.0338541666666667,3.1015625,3.0,0.24934895833333331,0.0234375,48.0,1.125,psaim_lite,4,clean,,0.007503746134558793,0.007861695510941699,0.0480608306825161,0.0,0.9544691884995138
3.1470060581509847,9.00157406241617,29.681249999999967,0.35441080729166663,0.1931259709218675,76.75,15.0,psaim_lite,4,stressed,10.0,-0.0025155141619023977,0.09884277026462462,0.0745228873565793,0.0066988104954361916,0.781129694918457
1.0598958333333335,3.1796875,3.0,0.24934895833333331,0.0234375,48.0,1.125,psaim_no_aleatoric,4,clean,,0.00755693121624616,0.007917822555634718,0.0,0.0,0.9544203804956793
2.741338491309529,7.863263345804752,18.349999999999994,0.37158203125,0.16586005340658938,76.75,12.875,psaim_no_aleatoric,4,stressed,10.958333333333332,0.04738100079049737,0.06480417405804423,0.0,0.0,0.770361184864253
1.0529513888888888,3.158854166666667,3.0,0.24934895833333331,0.0234375,48.0,1.125,psaim_no_gate,4,clean,,0.007857731963671401,0.007857731963671401,0.04697822779417038,0.0,1.0
3.0593131051182927,8.665563477117031,24.06874999999997,0.35563151041666663,0.19161171764530605,76.75,15.0,psaim_no_gate,4,stressed,9.6875,-0.3430149403255289,0.0551716652844685,0.08335948456078768,0.007571442984044552,1.0
