average_slowdown,mean_completion_time,p95_completion_time,utilization,task_failure_rate,tasks_arrived,tasks_failed,experiment,scenario,severity,severity_rank,method,method_label,seed
3.707204861111111,13.70703125,72.875,0.5625,0.2200520833333333,96.0,21.125,c5_duration_misreport_mechanism,duration_misreport,high,3,psaim_rawvar,PSAIM-RawVar,1
5.714409722222221,17.614583333333332,39.5,0.544921875,0.3125,96.0,30.0,c5_duration_misreport_mechanism,duration_misreport,low,1,heuristic_sjf_bestfit,SJF best-fit heuristic,2
4.9048828125,16.920572916666668,63.8125,0.5118001302083334,0.2981770833333333,96.0,28.625,c5_duration_misreport_mechanism,duration_misreport,low,1,sjf_r_0p10,SJF-R(0.10),2
4.842708333333333,17.440104166666664,77.9375,0.471435546875,0.30859375,96.0,29.625,c5_duration_misreport_mechanism,duration_misreport,low,1,sjf_r_0p17,SJF-R(0.17),2
4.842621527777777,17.505208333333332,72.90625,0.480712890625,0.3046875,96.0,29.25,c5_duration_misreport_mechanism,duration_misreport,low,1,sjf_r_0p18,SJF-R(0.18),2
5.259309895833334,19.572916666666664,82.375,0.40869140625,0.3411458333333333,96.0,32.75,c5_duration_misreport_mechanism,duration_misreport,low,1,sjf_r_0p25,SJF-R(0.25),2
3.088259548611111,11.5703125,65.5,0.5880533854166666,0.1822916666666666,96.0,17.5,c5_duration_misreport_mechanism,duration_misreport,low,1,psaim_lite,Simplified PSAIM,2
3.4516927083333333,12.263020833333334,67.375,0.5896809895833334,0.1966145833333333,96.0,18.875,c5_duration_misreport_mechanism,duration_misreport,low,1,psaim_rawvar,PSAIM-RawVar,2
6.061979166666667,18.375,44.5,0.5475260416666666,0.3541666666666667,96.0,34.0,c5_duration_misreport_mechanism,duration_misreport,medium,2,heuristic_sjf_bestfit,SJF best-fit heuristic,2
5.269509548611111,18.018229166666664,70.4375,0.5021158854166667,0.31640625,96.0,30.375,c5_duration_misreport_mechanism,duration_misreport,medium,2,sjf_r_0p10,SJF-R(0.10),2
5.111263020833333,18.1953125,75.09375,0.4742024739583333,0.3177083333333333,96.0,30.5,c5_duration_misreport_mechanism,duration_misreport,medium,2,sjf_r_0p17,SJF-R(0.17),2
5.272352430555555,18.78125,76.5,0.4696451822916666,0.3307291666666667,96.0,31.75,c5_duration_misreport_mechanism,duration_misreport,medium,2,sjf_r_0p18,SJF-R(0.18),2
5.619401041666666,20.291666666666668,82.3125,0.425537109375,0.3567708333333333,96.0,34.25,c5_duration_misreport_mechanism,duration_misreport,medium,2,sjf_r_0p25,SJF-R(0.25),2
3.0783203125,11.50390625,65.5,0.5914713541666667,0.1796875,96.0,17.25,c5_duration_misreport_mechanism,duration_misreport,medium,2,psaim_lite,Simplified PSAIM,2
3.065538194444444,11.46875,65.5,0.59228515625,0.1809895833333333,96.0,17.375,c5_duration_misreport_mechanism,duration_misreport,medium,2,psaim_rawvar,PSAIM-RawVar,2
6.061979166666667,18.375,44.5,0.5475260416666666,0.3541666666666667,96.0,34.0,c5_duration_misreport_mechanism,duration_misreport,high,3,heuristic_sjf_bestfit,SJF best-fit heuristic,2
5.034526909722223,17.403645833333336,65.3125,0.502197265625,0.3072916666666667,96.0,29.5,c5_duration_misreport_mechanism,duration_misreport,high,3,sjf_r_0p10,SJF-R(0.10),2
5.141449652777778,18.04427083333333,74.875,0.475830078125,0.3138020833333333,96.0,30.125,c5_duration_misreport_mechanism,duration_misreport,high,3,sjf_r_0p17,SJF-R(0.17),2
5.226649305555555,18.536458333333336,75.09375,0.4822591145833333,0.3203125,96.0,30.75,c5_duration_misreport_mechanism,duration_misreport,high,3,sjf_r_0p18,SJF-R(0.18),2
5.654361979166667,20.1015625,85.125,0.4436848958333333,0.3424479166666666,96.0,32.875,c5_duration_misreport_mechanism,duration_misreport,high,3,sjf_r_0p25,SJF-R(0.25),2
3.015277777777777,11.35546875,65.5,0.5921223958333334,0.1783854166666666,96.0,17.125,c5_duration_misreport_mechanism,duration_misreport,high,3,psaim_lite,Simplified PSAIM,2
3.0139105902777774,11.354166666666666,65.5,0.591796875,0.1770833333333333,96.0,17.0,c5_duration_misreport_mechanism,duration_misreport,high,3,psaim_rawvar,PSAIM-RawVar,2
5.714409722222221,17.614583333333332,39.5,0.544921875,0.3125,96.0,30.0,c5_duration_misreport_mechanism,duration_misreport,low,1,heuristic_sjf_bestfit,SJF best-fit heuristic,3
4.8473090277777775,16.69921875,61.96875,0.5172526041666666,0.2942708333333333,96.0,28.25,c5_duration_misreport_mechanism,duration_misreport,low,1,sjf_r_0p10,SJF-R(0.10),3
5.153971354166667,18.584635416666664,79.0,0.45068359375,0.3255208333333333,96.0,31.25,c5_duration_misreport_mechanism,duration_misreport,low,1,sjf_r_0p17,SJF-R(0.17),3
4.940299479166667,17.9453125,76.90625,0.449462890625,0.3177083333333333,96.0,30.5,c5_duration_misreport_mechanism,duration_misreport,low,1,sjf_r_0p18,SJF-R(0.18),3
