allocate_rate,defer_rate,reject_rate,allocate_count,defer_count,reject_count,total_actions,experiment,scenario,severity,severity_rank,method,method_label,seed
0.67578125,0.0611979166666666,0.2630208333333333,519.0,47.0,202.0,768.0,c5_duration_misreport_mechanism,duration_misreport,low,1,sjf_r_0p25,SJF-R(0.25),2
0.8385416666666666,0.0052083333333333,0.15625,644.0,4.0,120.0,768.0,c5_duration_misreport_mechanism,duration_misreport,low,1,psaim_lite,Simplified PSAIM,2
0.82421875,0.0026041666666666,0.1731770833333333,633.0,2.0,133.0,768.0,c5_duration_misreport_mechanism,duration_misreport,low,1,psaim_rawvar,PSAIM-RawVar,2
0.9166666666666666,0.0833333333333333,0.0,704.0,64.0,0.0,768.0,c5_duration_misreport_mechanism,duration_misreport,medium,2,heuristic_sjf_bestfit,SJF best-fit heuristic,2
0.8151041666666666,0.0807291666666666,0.1041666666666666,626.0,62.0,80.0,768.0,c5_duration_misreport_mechanism,duration_misreport,medium,2,sjf_r_0p10,SJF-R(0.10),2
0.75390625,0.0833333333333333,0.1627604166666666,579.0,64.0,125.0,768.0,c5_duration_misreport_mechanism,duration_misreport,medium,2,sjf_r_0p17,SJF-R(0.17),2
0.7434895833333334,0.0807291666666666,0.17578125,571.0,62.0,135.0,768.0,c5_duration_misreport_mechanism,duration_misreport,medium,2,sjf_r_0p18,SJF-R(0.18),2
0.67578125,0.0690104166666666,0.2552083333333333,519.0,53.0,196.0,768.0,c5_duration_misreport_mechanism,duration_misreport,medium,2,sjf_r_0p25,SJF-R(0.25),2
0.8411458333333334,0.0026041666666666,0.15625,646.0,2.0,120.0,768.0,c5_duration_misreport_mechanism,duration_misreport,medium,2,psaim_lite,Simplified PSAIM,2
0.8385416666666666,0.0026041666666666,0.1588541666666666,644.0,2.0,122.0,768.0,c5_duration_misreport_mechanism,duration_misreport,medium,2,psaim_rawvar,PSAIM-RawVar,2
0.9166666666666666,0.0833333333333333,0.0,704.0,64.0,0.0,768.0,c5_duration_misreport_mechanism,duration_misreport,high,3,heuristic_sjf_bestfit,SJF best-fit heuristic,2
0.8046875,0.0807291666666666,0.1145833333333333,618.0,62.0,88.0,768.0,c5_duration_misreport_mechanism,duration_misreport,high,3,sjf_r_0p10,SJF-R(0.10),2
0.76953125,0.0807291666666666,0.1497395833333333,591.0,62.0,115.0,768.0,c5_duration_misreport_mechanism,duration_misreport,high,3,sjf_r_0p17,SJF-R(0.17),2
0.7565104166666666,0.0794270833333333,0.1640625,581.0,61.0,126.0,768.0,c5_duration_misreport_mechanism,duration_misreport,high,3,sjf_r_0p18,SJF-R(0.18),2
0.6861979166666666,0.0677083333333333,0.24609375,527.0,52.0,189.0,768.0,c5_duration_misreport_mechanism,duration_misreport,high,3,sjf_r_0p25,SJF-R(0.25),2
0.8424479166666666,0.0013020833333333,0.15625,647.0,1.0,120.0,768.0,c5_duration_misreport_mechanism,duration_misreport,high,3,psaim_lite,Simplified PSAIM,2
0.8424479166666666,0.0013020833333333,0.15625,647.0,1.0,120.0,768.0,c5_duration_misreport_mechanism,duration_misreport,high,3,psaim_rawvar,PSAIM-RawVar,2
