episode,regime,action,V_epi,V_ale,V_ale_excess,gate_h3,r_int,action_type,eval_episode,experiment,scenario,severity,method,method_label,seed,raw_var
53.0,low_entropy,0.0,0.0485362671697075,0.0800934508442878,0.0079405233263969,0.846444617611651,-0.0311975553600508,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
54.0,low_entropy,1.0,0.0609271795844942,0.084907479584217,0.0078084617853164,0.846444617611651,-0.0195213383927481,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
55.0,low_entropy,0.0,0.0463586324972765,0.0793730691075325,0.0072201415896415,0.7972008858716542,-0.0496353354431269,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
56.0,low_entropy,0.0,0.1166666666666666,0.0848447754979133,0.0126918479800224,0.8559760916500541,-0.0078546597571653,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
57.0,low_entropy,0.0,0.0609271795844942,0.0878998935222625,0.0157469660043716,0.8658634855396148,-0.0713761059711845,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
58.0,low_entropy,5.0,0.0970725343394151,0.0845678225159645,0.0327031873166561,0.905158486709472,-0.0926872514653979,defer,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
59.0,low_entropy,0.0,0.0546608166610121,0.0857973024249076,0.0136443749070167,0.9030357150613172,-0.0289882953959447,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
60.0,low_entropy,0.0,0.0485362671697075,0.0800934508442878,0.0079405233263969,0.8419856874026592,-0.0334870609431021,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
61.0,low_entropy,0.0,0.0384174909963916,0.0797388479113578,0.0075859203934669,0.837804248135596,-0.0407442019480618,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
62.0,low_entropy,0.0,0.0583333333333333,0.0851567238569259,0.013003796339035,0.8511508424615088,-0.0642942250094485,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
63.0,low_entropy,5.0,0.1322875655532295,0.0879178121685981,0.0360531769692897,0.9144683547071246,-0.0585672267791855,defer,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
64.0,low_entropy,0.0,0.0430820218427664,0.0701915845274925,0.0,0.9168694862591766,0.0395005912339839,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
65.0,low_entropy,0.0,0.0430820218427664,0.0701915845274925,0.0,0.9192091660275462,0.0396013893688698,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
66.0,low_entropy,0.0,0.0384174909963916,0.0797388479113578,0.0075859203934669,0.9241662785810872,0.0011850856314503,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
67.0,low_entropy,0.0,0.0384174909963916,0.0797388479113578,0.0075859203934669,0.9288427808542442,0.0034698069054775,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
68.0,low_entropy,0.0,0.0384174909963916,0.0797388479113578,0.0075859203934669,0.9332517223740876,0.005625164113816,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
69.0,low_entropy,0.0,0.0281126765115874,0.084705501794815,0.0125525742769241,0.9288427808542442,-0.0270070552365118,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
70.0,low_entropy,0.0,0.0281126765115874,0.084705501794815,0.0125525742769241,0.9241662785810872,-0.0305968431989537,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
71.0,high_entropy,0.0,0.0281126765115874,0.084705501794815,0.0125525742769241,0.9192091660275462,-0.0343976864551172,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
72.0,high_entropy,0.0,0.0384174909963916,0.0797388479113578,0.0075859203934669,0.9176510178101316,-0.0019955071666583,allocate,0,c5_signal_separation,alternating_hidden_regime,clean,psaim_lite,Simplified PSAIM,0,
