average_slowdown,mean_completion_time,p95_completion_time,utilization,task_failure_rate,tasks_arrived,tasks_failed,experiment,scenario,severity,severity_rank,method,method_label,seed,condition,degradation_pct,agent_r_int,agent_V_epi,agent_V_ale,agent_V_ale_excess,agent_gate_h3
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.2395833333333333,96.0,23.0,reward_corruption_robustness,clean,clean,0,heuristic_sjf_bestfit,SJF best-fit heuristic,5,clean,0.0,,,,,
5.192881944444444,15.8125,81.0,0.5670572916666666,0.28125,96.0,27.0,reward_corruption_robustness,clean,clean,0,deeprm_inspired_pg,PG proxy,5,clean,0.0,,,,,
3.0369574652777778,11.436197916666668,65.5,0.5884602864583333,0.1796875,96.0,17.25,reward_corruption_robustness,clean,clean,0,plain_dqn,DQN,5,clean,0.0,,,,,
3.390907118055556,12.59375,71.5,0.5772298177083333,0.1966145833333333,96.0,18.875,reward_corruption_robustness,clean,clean,0,dqn_rnd,DQN+RND,5,clean,0.0,0.0,,,,
3.696050347222222,13.7890625,73.8125,0.5506184895833334,0.2200520833333333,96.0,21.125,reward_corruption_robustness,clean,clean,0,psaim_lite,Simplified PSAIM,5,clean,0.0,0.0240334727143849,0.0384597041796588,0.0470066596753895,0.0020228330977261,0.8200411455304083
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.2395833333333333,96.0,23.0,reward_corruption_robustness,reward_corruption,high,3,heuristic_sjf_bestfit,SJF best-fit heuristic,5,stressed,0.0,,,,,
17.66111111111111,52.5,94.5,0.0,1.0,96.0,96.0,reward_corruption_robustness,reward_corruption,high,3,deeprm_inspired_pg,PG proxy,5,stressed,240.1023035003845,,,,,
6.112717013888889,18.545572916666668,53.78125,0.557373046875,0.3046875,96.0,29.25,reward_corruption_robustness,reward_corruption,high,3,plain_dqn,DQN,5,stressed,101.27766304852692,,,,,
17.64548611111111,52.4375,94.4375,0.00146484375,0.9986979166666669,96.0,95.875,reward_corruption_robustness,reward_corruption,high,3,dqn_rnd,DQN+RND,5,stressed,420.3765687698796,0.0,,,,
17.46169704861111,51.89453125,93.6875,0.0131022135416666,0.9856770833333334,96.0,94.625,reward_corruption_robustness,reward_corruption,high,3,psaim_lite,Simplified PSAIM,5,stressed,372.44207757436266,0.0060571358874305,0.0068209146429679,0.0881695449352264,0.0001715272665023,0.9553652791110058
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.2395833333333333,96.0,23.0,reward_corruption_robustness,clean,clean,0,heuristic_sjf_bestfit,SJF best-fit heuristic,6,clean,0.0,,,,,
7.776388888888889,22.125,81.0,0.3984375,0.5208333333333334,96.0,50.0,reward_corruption_robustness,clean,clean,0,deeprm_inspired_pg,PG proxy,6,clean,0.0,,,,,
3.640863715277778,13.145833333333334,72.5,0.579833984375,0.2057291666666666,96.0,19.75,reward_corruption_robustness,clean,clean,0,plain_dqn,DQN,6,clean,0.0,,,,,
3.2461588541666666,12.170572916666668,69.28125,0.579345703125,0.1901041666666666,96.0,18.25,reward_corruption_robustness,clean,clean,0,dqn_rnd,DQN+RND,6,clean,0.0,0.0,,,,
3.178732638888889,11.733072916666668,64.75,0.5901692708333333,0.1848958333333333,96.0,17.75,reward_corruption_robustness,clean,clean,0,psaim_lite,Simplified PSAIM,6,clean,0.0,0.0125280118022511,0.0155123279578792,0.0416814791969955,0.0002533514052629,0.8563473508409377
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.2395833333333333,96.0,23.0,reward_corruption_robustness,reward_corruption,high,3,heuristic_sjf_bestfit,SJF best-fit heuristic,6,stressed,0.0,,,,,
7.296875,22.885416666666668,73.5,0.3190104166666667,0.5729166666666666,96.0,55.0,reward_corruption_robustness,reward_corruption,high,3,deeprm_inspired_pg,PG proxy,6,stressed,-6.1662796928022825,,,,,
7.576692708333333,22.30989583333333,58.8125,0.5340983072916667,0.3697916666666667,96.0,35.5,reward_corruption_robustness,reward_corruption,high,3,plain_dqn,DQN,6,stressed,108.10151933290018,,,,,
15.986154513888888,47.255208333333336,88.59375,0.0944010416666666,0.890625,96.0,85.5,reward_corruption_robustness,reward_corruption,high,3,dqn_rnd,DQN+RND,6,stressed,392.46371579658114,0.0,,,,
17.569444444444443,52.200520833333336,94.15625,0.0078938802083333,0.9934895833333331,96.0,95.375,reward_corruption_robustness,reward_corruption,high,3,psaim_lite,Simplified PSAIM,6,stressed,452.71853409432254,-0.0011059438851477,0.0088649446943198,0.0907107843086123,0.0026008589193224,0.9532921484968696
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.2395833333333333,96.0,23.0,reward_corruption_robustness,clean,clean,0,heuristic_sjf_bestfit,SJF best-fit heuristic,7,clean,0.0,,,,,
3.448263888888889,12.166666666666666,65.5,0.5885416666666666,0.21875,96.0,21.0,reward_corruption_robustness,clean,clean,0,deeprm_inspired_pg,PG proxy,7,clean,0.0,,,,,
3.6170355902777778,13.5078125,72.59375,0.5517578125,0.21484375,96.0,20.625,reward_corruption_robustness,clean,clean,0,plain_dqn,DQN,7,clean,0.0,,,,,
3.018641493055555,11.375,65.6875,0.5922037760416667,0.1783854166666666,96.0,17.125,reward_corruption_robustness,clean,clean,0,dqn_rnd,DQN+RND,7,clean,0.0,0.0,,,,
3.655881076388889,13.7109375,74.25,0.54931640625,0.2174479166666666,96.0,20.875,reward_corruption_robustness,clean,clean,0,psaim_lite,Simplified PSAIM,7,clean,0.0,0.0323211506649324,0.0382882577931622,0.0420064008794724,0.0,0.8545207501437517
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.2395833333333333,96.0,23.0,reward_corruption_robustness,reward_corruption,high,3,heuristic_sjf_bestfit,SJF best-fit heuristic,7,stressed,0.0,,,,,
6.885763888888889,19.17708333333333,81.0,0.5598958333333334,0.34375,96.0,33.0,reward_corruption_robustness,reward_corruption,high,3,deeprm_inspired_pg,PG proxy,7,stressed,99.68784613835466,,,,,
17.59361979166667,52.3046875,94.1875,0.0037434895833333,0.9934895833333334,96.0,95.375,reward_corruption_robustness,reward_corruption,high,3,plain_dqn,DQN,7,stressed,386.409916423176,,,,,
17.531293402777777,52.040364583333336,93.90625,0.0104166666666666,0.9895833333333334,96.0,95.0,reward_corruption_robustness,reward_corruption,high,3,dqn_rnd,DQN+RND,7,stressed,480.767654691982,0.0,,,,
17.58971354166667,52.25130208333333,94.15625,0.0050455729166666,0.9934895833333334,96.0,95.375,reward_corruption_robustness,reward_corruption,high,3,psaim_lite,Simplified PSAIM,7,stressed,381.134729881339,0.0068490498426062,0.0071712880263129,0.0859568640589714,0.0,0.9550655081033792
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.2395833333333333,96.0,23.0,reward_corruption_robustness,clean,clean,0,heuristic_sjf_bestfit,SJF best-fit heuristic,8,clean,0.0,,,,,
4.610416666666667,15.645833333333334,82.5,0.5455729166666666,0.2708333333333333,96.0,26.0,reward_corruption_robustness,clean,clean,0,deeprm_inspired_pg,PG proxy,8,clean,0.0,,,,,
3.3129991319444443,12.364583333333332,71.5,0.5792643229166666,0.19140625,96.0,18.375,reward_corruption_robustness,clean,clean,0,plain_dqn,DQN,8,clean,0.0,,,,,
3.611610243055555,13.61328125,73.4375,0.5542805989583334,0.2122395833333333,96.0,20.375,reward_corruption_robustness,clean,clean,0,dqn_rnd,DQN+RND,8,clean,0.0,0.0,,,,
3.0150390625,11.34375,65.5,0.5926920572916667,0.1770833333333333,96.0,17.0,reward_corruption_robustness,clean,clean,0,psaim_lite,Simplified PSAIM,8,clean,0.0,0.0152459987144214,0.0197023762981744,0.0419031339697539,0.0,0.772631462883022
4.218576388888889,14.010416666666666,40.25,0.5657552083333334,0.2395833333333333,96.0,23.0,reward_corruption_robustness,reward_corruption,high,3,heuristic_sjf_bestfit,SJF best-fit heuristic,8,stressed,0.0,,,,,
8.719791666666667,26.36458333333333,81.25,0.458984375,0.3958333333333333,96.0,38.0,reward_corruption_robustness,reward_corruption,high,3,deeprm_inspired_pg,PG proxy,8,stressed,89.13239945774968,,,,,
10.052061631944444,29.575520833333336,82.0625,0.4683430989583333,0.4869791666666666,96.0,46.75,reward_corruption_robustness,reward_corruption,high,3,plain_dqn,DQN,8,stressed,203.41274572096708,,,,,
17.58671875,52.25911458333333,94.3125,0.0030110677083333,0.99609375,96.0,95.625,reward_corruption_robustness,reward_corruption,high,3,dqn_rnd,DQN+RND,8,stressed,386.9495201985303,0.0,,,,
